Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,De'Anthony Melton (11492354),De'Anthony Melton,11492354,SG/G/UTIL,3000,PHO@GS 10/22/2018 10:30PM ET,PHO,0
PF,Alfonzo McKinnie (11492357),Alfonzo McKinnie,11492357,PF/F/UTIL,3000,PHO@GS 10/22/2018 10:30PM ET,GS,2.5
SG,Damion Lee (11492360),Damion Lee,11492360,SG/G/UTIL,3000,PHO@GS 10/22/2018 10:30PM ET,GS,0
SG,Jacob Evans III (11492363),Jacob Evans III,11492363,SG/G/UTIL,3000,PHO@GS 10/22/2018 10:30PM ET,GS,0
SF,Marcus Derrickson (11492366),Marcus Derrickson,11492366,SF/F/UTIL,3000,PHO@GS 10/22/2018 10:30PM ET,GS,0
C,Timofey Mozgov (11492369) (LOCKED),Timofey Mozgov,11492369,C/UTIL,3000,In Progress,ORL,0
PG,Isaiah Briscoe (11492371) (LOCKED),Isaiah Briscoe,11492371,PG/G/UTIL,3000,In Progress,ORL,7.88
SF,Melvin Frazier (11492374) (LOCKED),Melvin Frazier,11492374,SF/F/UTIL,3000,In Progress,ORL,0
PF,Amile Jefferson (11492377) (LOCKED),Amile Jefferson,11492377,PF/F/UTIL,3000,In Progress,ORL,0
PF/C,Jarell Martin (11492380) (LOCKED),Jarell Martin,11492380,PF/C/F/UTIL,3000,In Progress,ORL,10
SG,Wes Iwundu (11492384) (LOCKED),Wes Iwundu,11492384,SG/G/UTIL,3000,In Progress,ORL,11.5
SG,Troy Caupain (11492387) (LOCKED),Troy Caupain,11492387,SG/G/UTIL,3000,In Progress,ORL,0
PF,Guerschon Yabusele (11492390) (LOCKED),Guerschon Yabusele,11492390,PF/F/UTIL,3000,In Progress,BOS,1
PG,PJ Dozier (11492393) (LOCKED),PJ Dozier,11492393,PG/G/UTIL,3000,In Progress,BOS,0
SG,Jabari Bird (11492396) (LOCKED),Jabari Bird,11492396,SG/G/UTIL,3000,In Progress,BOS,0
PF,Semi Ojeleye (11492399) (LOCKED),Semi Ojeleye,11492399,PF/F/UTIL,3000,In Progress,BOS,0.62
PG,Brad Wanamaker (11492402) (LOCKED),Brad Wanamaker,11492402,PG/G/UTIL,3000,In Progress,BOS,3.25
PG/SG,Yuta Watanabe (11492405),Yuta Watanabe,11492405,PG/SG/G/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,MEM,0
PG,Jevon Carter (11492409),Jevon Carter,11492409,PG/G/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,MEM,0
SF,D.J. Stephens (11492412),D.J. Stephens,11492412,SF/F/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,MEM,0
SF,Thabo Sefolosha (11492415),Thabo Sefolosha,11492415,SF/F/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,UTA,0
PG,Raul Neto (11492418),Raul Neto,11492418,PG/G/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,UTA,0
PF,Tyler Cavanaugh (11492421),Tyler Cavanaugh,11492421,PF/F/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,UTA,0
PG,Nazareth Mitrou-Long (11492424),Nazareth Mitrou-Long,11492424,PG/G/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,UTA,0
PF,Georges Niang (11492427),Georges Niang,11492427,PF/F/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,UTA,8.12
C,Tony Bradley (11492430),Tony Bradley,11492430,C/UTIL,3000,MEM@UTA 10/22/2018 09:00PM ET,UTA,0
SG,J.P. Macura (11492432) (LOCKED),J.P. Macura,11492432,SG/G/UTIL,3000,In Progress,CHA,0
PG,Devonte' Graham (11492435) (LOCKED),Devonte' Graham,11492435,PG/G/UTIL,3000,In Progress,CHA,0
PG,Joe Chealey (11492438) (LOCKED),Joe Chealey,11492438,PG/G/UTIL,3000,In Progress,CHA,0
SG,Dwayne Bacon (11492441) (LOCKED),Dwayne Bacon,11492441,SG/G/UTIL,3000,In Progress,CHA,9
C,Bismack Biyombo (11492444) (LOCKED),Bismack Biyombo,11492444,C/UTIL,3000,In Progress,CHA,2
PG,Jordan Loyd (11492446) (LOCKED),Jordan Loyd,11492446,PG/G/UTIL,3000,In Progress,TOR,0
PG,Lorenzo Brown (11492449) (LOCKED),Lorenzo Brown,11492449,PG/G/UTIL,3000,In Progress,TOR,1
PF,Chris Boucher (11492452) (LOCKED),Chris Boucher,11492452,PF/F/UTIL,3000,In Progress,TOR,0
SG,Malachi Richardson (11492455) (LOCKED),Malachi Richardson,11492455,SG/G/UTIL,3000,In Progress,TOR,0
PG,Daryl Macon (11492458) (LOCKED),Daryl Macon,11492458,PG/G/UTIL,3000,In Progress,DAL,0
PF,Ray Spalding (11492461) (LOCKED),Ray Spalding,11492461,PF/F/UTIL,3000,In Progress,DAL,0
SG/SF,Ryan Broekhoff (11492464) (LOCKED),Ryan Broekhoff,11492464,SG/SF/F/G/UTIL,3000,In Progress,DAL,4.12
C,Cristiano Felicio (11492469) (LOCKED),Cristiano Felicio,11492469,C/UTIL,3000,In Progress,CHI,0
PG,Tyler Ulis (11492471) (LOCKED),Tyler Ulis,11492471,PG/G/UTIL,3000,In Progress,CHI,0
PG,Rawle Alkins (11492474) (LOCKED),Rawle Alkins,11492474,PG/G/UTIL,3000,In Progress,CHI,0
PF,Lauri Markkanen (11492477) (LOCKED),Lauri Markkanen,11492477,PF/F/UTIL,3000,In Progress,CHI,0
C,Omer Asik (11492480) (LOCKED),Omer Asik,11492480,C/UTIL,3000,In Progress,CHI,0
PG,Shaquille Harrison (11492482) (LOCKED),Shaquille Harrison,11492482,PG/G/UTIL,3000,In Progress,CHI,0
