Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Dwight Powell (11532740),Dwight Powell,11532740,PF/C/F/UTIL,4000,DAL@SA 10/29/2018 08:30PM ET,DAL,19.88
PF,Pascal Siakam (11532744),Pascal Siakam,11532744,PF/F/UTIL,3900,TOR@MIL 10/29/2018 08:00PM ET,TOR,20.79
PF/C,Zach Collins (11532747),Zach Collins,11532747,PF/C/F/UTIL,3900,POR@IND 10/29/2018 07:00PM ET,POR,24
PG/SF,Frank Ntilikina (11532751),Frank Ntilikina,11532751,PG/SF/F/G/UTIL,3900,BKN@NY 10/29/2018 07:30PM ET,NY,18.25
SF/PF,Wilson Chandler (11532756),Wilson Chandler,11532756,SF/PF/F/UTIL,3900,ATL@PHI 10/29/2018 07:00PM ET,PHI,0
SG/SF,Andre Iguodala (11532760),Andre Iguodala,11532760,SG/SF/F/G/UTIL,3800,GS@CHI 10/29/2018 08:00PM ET,GS,11.58
PF/C,Kevon Looney (11532765),Kevon Looney,11532765,PF/C/F/UTIL,3800,GS@CHI 10/29/2018 08:00PM ET,GS,15.71
PG,Ryan Arcidiacono (11532793),Ryan Arcidiacono,11532793,PG/G/UTIL,3800,GS@CHI 10/29/2018 08:00PM ET,CHI,20.65
C,John Henson (11532769),John Henson,11532769,C/UTIL,3800,TOR@MIL 10/29/2018 08:00PM ET,MIL,21.96
PF/C,Mason Plumlee (11532771),Mason Plumlee,11532771,PF/C/F/UTIL,3800,NO@DEN 10/29/2018 09:00PM ET,DEN,18.1
SG/SF,Iman Shumpert (11532775),Iman Shumpert,11532775,SG/SF/F/G/UTIL,3800,SAC@MIA 10/29/2018 07:30PM ET,SAC,20.2
SG/SF,Justin Jackson (11532780),Justin Jackson,11532780,SG/SF/F/G/UTIL,3800,SAC@MIA 10/29/2018 07:30PM ET,SAC,20
PF/C,Ed Davis (11532785),Ed Davis,11532785,PF/C/F/UTIL,3800,BKN@NY 10/29/2018 07:30PM ET,BKN,20.29
SF/PF,DeMarre Carroll (11532789),DeMarre Carroll,11532789,SF/PF/F/UTIL,3800,BKN@NY 10/29/2018 07:30PM ET,BKN,0
SG/SF,Torrey Craig (11532796),Torrey Craig,11532796,SG/SF/F/G/UTIL,3700,NO@DEN 10/29/2018 09:00PM ET,DEN,12.5
SF/PF,Kevin Knox (11532801),Kevin Knox,11532801,SF/PF/F/UTIL,3700,BKN@NY 10/29/2018 07:30PM ET,NY,14.17
PG/SG,Patty Mills (11532805),Patty Mills,11532805,PG/SG/G/UTIL,3700,DAL@SA 10/29/2018 08:30PM ET,SA,13.5
SF/PF,Dorian Finney-Smith (11532809),Dorian Finney-Smith,11532809,SF/PF/F/UTIL,3700,DAL@SA 10/29/2018 08:30PM ET,DAL,16.38
C,Damian Jones (11532813),Damian Jones,11532813,C/UTIL,3600,GS@CHI 10/29/2018 08:00PM ET,GS,16.18
PG/SG,Tyus Jones (11532815),Tyus Jones,11532815,PG/SG/G/UTIL,3600,LAL@MIN 10/29/2018 08:00PM ET,MIN,15.17
SF/PF,Juancho Hernangomez (11532819),Juancho Hernangomez,11532819,SF/PF/F/UTIL,3600,NO@DEN 10/29/2018 09:00PM ET,DEN,12.95
SF/PF,Jonas Jerebko (11532823),Jonas Jerebko,11532823,SF/PF/F/UTIL,3500,GS@CHI 10/29/2018 08:00PM ET,GS,15.14
SG/SF,Pat Connaughton (11532827),Pat Connaughton,11532827,SG/SF/F/G/UTIL,3500,TOR@MIL 10/29/2018 08:00PM ET,MIL,12.92
SG/SF,Nik Stauskas (11532832),Nik Stauskas,11532832,SG/SF/F/G/UTIL,3500,POR@IND 10/29/2018 07:00PM ET,POR,18.35
SG/SF,Kentavious Caldwell-Pope (11532837),Kentavious Caldwell-Pope,11532837,SG/SF/F/G/UTIL,3500,LAL@MIN 10/29/2018 08:00PM ET,LAL,10.33
PG/SG,Tyler Johnson (11532842),Tyler Johnson,11532842,PG/SG/G/UTIL,3500,SAC@MIA 10/29/2018 07:30PM ET,MIA,14.85
SG/SF,Allonzo Trier (11532846),Allonzo Trier,11532846,SG/SF/F/G/UTIL,3500,BKN@NY 10/29/2018 07:30PM ET,NY,13.25
PG/SG,T.J. McConnell (11532851),T.J. McConnell,11532851,PG/SG/G/UTIL,3500,ATL@PHI 10/29/2018 07:00PM ET,PHI,12.62
SF/PF,Dante Cunningham (11532855),Dante Cunningham,11532855,SF/PF/F/UTIL,3500,DAL@SA 10/29/2018 08:30PM ET,SA,10.25
PG/SG,Devin Harris (11532859),Devin Harris,11532859,PG/SG/G/UTIL,3500,DAL@SA 10/29/2018 08:30PM ET,DAL,1.5
C,Jakob Poeltl (11532902),Jakob Poeltl,11532902,C/UTIL,3500,DAL@SA 10/29/2018 08:30PM ET,SA,8.25
SG/SF,Chandler Hutchison (11532863),Chandler Hutchison,11532863,SG/SF/F/G/UTIL,3400,GS@CHI 10/29/2018 08:00PM ET,CHI,8.6
PG/SG,Delon Wright (11532868),Delon Wright,11532868,PG/SG/G/UTIL,3400,TOR@MIL 10/29/2018 08:00PM ET,TOR,2
SF/PF,OG Anunoby (11532872),OG Anunoby,11532872,SF/PF/F/UTIL,3400,TOR@MIL 10/29/2018 08:00PM ET,TOR,14.55
SG/SF,C.J. Miles (11532876),C.J. Miles,11532876,SG/SF/F/G/UTIL,3400,TOR@MIL 10/29/2018 08:00PM ET,TOR,10.42
SF/PF,Doug McDermott (11532907),Doug McDermott,11532907,SF/PF/F/UTIL,3400,POR@IND 10/29/2018 07:00PM ET,IND,14.08
PG/SG,Frank Jackson (11532881),Frank Jackson,11532881,PG/SG/G/UTIL,3400,NO@DEN 10/29/2018 09:00PM ET,NO,8.67
PF/C,Mitchell Robinson (11532885),Mitchell Robinson,11532885,PF/C/F/UTIL,3400,BKN@NY 10/29/2018 07:30PM ET,NY,8.31
PG/SG,Shabazz Napier (11532889),Shabazz Napier,11532889,PG/SG/G/UTIL,3400,BKN@NY 10/29/2018 07:30PM ET,BKN,15.92
PF/C,Omari Spellman (11532893),Omari Spellman,11532893,PF/C/F/UTIL,3400,ATL@PHI 10/29/2018 07:00PM ET,ATL,15.81
SG/SF,Kevin Huerter (11532897),Kevin Huerter,11532897,SG/SF/F/G/UTIL,3400,ATL@PHI 10/29/2018 07:00PM ET,ATL,15.05
PG,Jalen Brunson (11532904),Jalen Brunson,11532904,PG/G/UTIL,3400,DAL@SA 10/29/2018 08:30PM ET,DAL,11.08
PF/C,Jordan Bell (11532911),Jordan Bell,11532911,PF/C/F/UTIL,3300,GS@CHI 10/29/2018 08:00PM ET,GS,8.33
C,Cristiano Felicio (11532915),Cristiano Felicio,11532915,C/UTIL,3300,GS@CHI 10/29/2018 08:00PM ET,CHI,17.83
PG/SG,Antonio Blakeney (11532976),Antonio Blakeney,11532976,PG/SG/G/UTIL,3300,GS@CHI 10/29/2018 08:00PM ET,CHI,13.71
C,Greg Monroe (11532917),Greg Monroe,11532917,C/UTIL,3300,TOR@MIL 10/29/2018 08:00PM ET,TOR,6
PG/SF,Donte DiVincenzo (11532919),Donte DiVincenzo,11532919,PG/SF/F/G/UTIL,3300,TOR@MIL 10/29/2018 08:00PM ET,MIL,15.25
SF/PF,Moe Harkless (11532924),Moe Harkless,11532924,SF/PF/F/UTIL,3300,POR@IND 10/29/2018 07:00PM ET,POR,14.6
PF/C,Gorgui Dieng (11532928),Gorgui Dieng,11532928,PF/C/F/UTIL,3300,LAL@MIN 10/29/2018 08:00PM ET,MIN,18.5
SF/PF,Anthony Tolliver (11532932),Anthony Tolliver,11532932,SF/PF/F/UTIL,3300,LAL@MIN 10/29/2018 08:00PM ET,MIN,14.67
SF/PF,Solomon Hill (11532936),Solomon Hill,11532936,SF/PF/F/UTIL,3300,NO@DEN 10/29/2018 09:00PM ET,NO,13.05
PG/SG,Yogi Ferrell (11532940),Yogi Ferrell,11532940,PG/SG/G/UTIL,3300,SAC@MIA 10/29/2018 07:30PM ET,SAC,12.25
PG/SG,Frank Mason III (11532944),Frank Mason III,11532944,PG/SG/G/UTIL,3300,SAC@MIA 10/29/2018 07:30PM ET,SAC,16.55
SG/SF,Wayne Ellington (11532948),Wayne Ellington,11532948,SG/SF/F/G/UTIL,3300,SAC@MIA 10/29/2018 07:30PM ET,MIA,0
SF/PF,Derrick Jones Jr. (11532953),Derrick Jones Jr.,11532953,SF/PF/F/UTIL,3300,SAC@MIA 10/29/2018 07:30PM ET,MIA,20
SF/PF,Jared Dudley (11532957),Jared Dudley,11532957,SF/PF/F/UTIL,3300,BKN@NY 10/29/2018 07:30PM ET,BKN,17.08
PF/C,Mike Muscala (11532961),Mike Muscala,11532961,PF/C/F/UTIL,3300,ATL@PHI 10/29/2018 07:00PM ET,PHI,13.5
SF/PF,Alex Poythress (11532965),Alex Poythress,11532965,SF/PF/F/UTIL,3300,ATL@PHI 10/29/2018 07:00PM ET,ATL,13.44
SG,Vince Carter (11532969),Vince Carter,11532969,SG/G/UTIL,3300,ATL@PHI 10/29/2018 07:00PM ET,ATL,15.25
PF/C,Davis Bertans (11532972),Davis Bertans,11532972,PF/C/F/UTIL,3300,DAL@SA 10/29/2018 08:30PM ET,SA,12.95
SF/PF,Alfonzo McKinnie (11532980),Alfonzo McKinnie,11532980,SF/PF/F/UTIL,3200,GS@CHI 10/29/2018 08:00PM ET,GS,8.71
C,Robin Lopez (11532984),Robin Lopez,11532984,C/UTIL,3200,GS@CHI 10/29/2018 08:00PM ET,CHI,9.83
SG/SF,Norman Powell (11532986),Norman Powell,11532986,SG/SF/F/G/UTIL,3200,TOR@MIL 10/29/2018 08:00PM ET,TOR,11.25
PG,Lorenzo Brown (11532991),Lorenzo Brown,11532991,PG/G/UTIL,3200,TOR@MIL 10/29/2018 08:00PM ET,TOR,5.6
PG/SG,Seth Curry (11532994),Seth Curry,11532994,PG/SG/G/UTIL,3200,POR@IND 10/29/2018 07:00PM ET,POR,9.8
PF,Caleb Swanigan (11532998),Caleb Swanigan,11532998,PF/F/UTIL,3200,POR@IND 10/29/2018 07:00PM ET,POR,0
PF/C,Kyle O'Quinn (11533001),Kyle O'Quinn,11533001,PF/C/F/UTIL,3200,POR@IND 10/29/2018 07:00PM ET,IND,13.55
SF/PF,TJ Leaf (11533005),TJ Leaf,11533005,SF/PF/F/UTIL,3200,POR@IND 10/29/2018 07:00PM ET,IND,2.75
PF/C,Johnathan Williams (11533009),Johnathan Williams,11533009,PF/C/F/UTIL,3200,LAL@MIN 10/29/2018 08:00PM ET,LAL,12.94
SG/SF,Sviatoslav Mykhailiuk (11533013),Sviatoslav Mykhailiuk,11533013,SG/SF/F/G/UTIL,3200,LAL@MIN 10/29/2018 08:00PM ET,LAL,6.25
PG/SG,Malik Beasley (11533018),Malik Beasley,11533018,PG/SG/G/UTIL,3200,NO@DEN 10/29/2018 09:00PM ET,DEN,8.3
PG/SG,Ian Clark (11533022),Ian Clark,11533022,PG/SG/G/UTIL,3200,NO@DEN 10/29/2018 09:00PM ET,NO,7.56
SF/PF,Wesley Johnson (11533026),Wesley Johnson,11533026,SF/PF/F/UTIL,3200,NO@DEN 10/29/2018 09:00PM ET,NO,8.75
PF/C,Cheick Diallo (11533030),Cheick Diallo,11533030,PF/C/F/UTIL,3200,NO@DEN 10/29/2018 09:00PM ET,NO,8.17
PF/C,Zach Randolph (11533034),Zach Randolph,11533034,PF/C/F/UTIL,3200,SAC@MIA 10/29/2018 07:30PM ET,SAC,0
PF/C,Harry Giles (11533038),Harry Giles,11533038,PF/C/F/UTIL,3200,SAC@MIA 10/29/2018 07:30PM ET,SAC,8.96
SF/PF,Lance Thomas (11533042),Lance Thomas,11533042,SF/PF/F/UTIL,3200,BKN@NY 10/29/2018 07:30PM ET,NY,9.38
PG,Emmanuel Mudiay (11533046),Emmanuel Mudiay,11533046,PG/G/UTIL,3200,BKN@NY 10/29/2018 07:30PM ET,NY,0
PF/C,Kenneth Faried (11533049),Kenneth Faried,11533049,PF/C/F/UTIL,3200,BKN@NY 10/29/2018 07:30PM ET,BKN,6
PF/C,Amir Johnson (11533053),Amir Johnson,11533053,PF/C/F/UTIL,3200,ATL@PHI 10/29/2018 07:00PM ET,PHI,12.17
PG/SG,Jeremy Lin (11533057),Jeremy Lin,11533057,PG/SG/G/UTIL,3200,ATL@PHI 10/29/2018 07:00PM ET,ATL,9.7
PG/SG,Tyler Dorsey (11533061),Tyler Dorsey,11533061,PG/SG/G/UTIL,3200,ATL@PHI 10/29/2018 07:00PM ET,ATL,8.12
PG,Shaun Livingston (11533065),Shaun Livingston,11533065,PG/G/UTIL,3100,GS@CHI 10/29/2018 08:00PM ET,GS,12.5
SG/SF,Tony Snell (11533068),Tony Snell,11533068,SG/SF/F/G/UTIL,3100,TOR@MIL 10/29/2018 08:00PM ET,MIL,10.04
SF/PF,Jake Layman (11533073),Jake Layman,11533073,SF/PF/F/UTIL,3100,POR@IND 10/29/2018 07:00PM ET,POR,8.2
PG/SG,Wade Baldwin IV (11533077),Wade Baldwin IV,11533077,PG/SG/G/UTIL,3100,POR@IND 10/29/2018 07:00PM ET,POR,1.5
SF/PF,Michael Beasley (11533081),Michael Beasley,11533081,SF/PF/F/UTIL,3100,LAL@MIN 10/29/2018 08:00PM ET,LAL,1.92
C,Jahlil Okafor (11533085),Jahlil Okafor,11533085,C/UTIL,3100,NO@DEN 10/29/2018 09:00PM ET,NO,8.75
PF/C,Skal Labissiere (11533087),Skal Labissiere,11533087,PF/C/F/UTIL,3100,SAC@MIA 10/29/2018 07:30PM ET,SAC,3.42
PG/SG,Landry Shamet (11533091),Landry Shamet,11533091,PG/SG/G/UTIL,3100,ATL@PHI 10/29/2018 07:00PM ET,PHI,9.04
C,Miles Plumlee (11533095),Miles Plumlee,11533095,C/UTIL,3100,ATL@PHI 10/29/2018 07:00PM ET,ATL,15.25
SF/PF,Justin Anderson (11533097),Justin Anderson,11533097,SF/PF/F/UTIL,3100,ATL@PHI 10/29/2018 07:00PM ET,ATL,0
PG,Quinn Cook (11533101),Quinn Cook,11533101,PG/G/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,GS,5.42
SG/SF,Damion Lee (11533104),Damion Lee,11533104,SG/SF/F/G/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,GS,0
PF,Marcus Derrickson (11533109),Marcus Derrickson,11533109,PF/F/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,GS,0
