Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Jared Terrell (11506878),Jared Terrell,11506878,PG/G/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,0
SF/PF,Keita Bates-Diop (11506881),Keita Bates-Diop,11506881,SF/PF/F/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,0
SG/SF,Courtney Lee (11506697),Courtney Lee,11506697,SG/SF/F/G/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,NY,0
PG/SG,Ron Baker (11506702),Ron Baker,11506702,PG/SG/G/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,NY,5.38
PF/C,Kristaps Porzingis (11506885),Kristaps Porzingis,11506885,PF/C/F/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,NY,0
PF/C,Isaiah Hicks (11506889),Isaiah Hicks,11506889,PF/C/F/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,NY,0
PF/C,Luke Kornet (11506893),Luke Kornet,11506893,PF/C/F/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,NY,0
PF,Udonis Haslem (11506897),Udonis Haslem,11506897,PF/F/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,MIA,0
SG/SF,Duncan Robinson (11506900),Duncan Robinson,11506900,SG/SF/F/G/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,MIA,0
SF,Yante Maten (11506905),Yante Maten,11506905,SF/F/UTIL,3000,NY@MIA 10/24/2018 07:30PM ET,MIA,0
C,Ekpe Udoh (11506713),Ekpe Udoh,11506713,C/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,2.75
SF,Thabo Sefolosha (11506908),Thabo Sefolosha,11506908,SF/F/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,0
PG,Raul Neto (11506911),Raul Neto,11506911,PG/G/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,0
PF,Tyler Cavanaugh (11506914),Tyler Cavanaugh,11506914,PF/F/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,0
PG,Nazareth Mitrou-Long (11506917),Nazareth Mitrou-Long,11506917,PG/G/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,0
SF/PF,Georges Niang (11506920),Georges Niang,11506920,SF/PF/F/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,7
C,Tony Bradley (11506924),Tony Bradley,11506924,C/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,UTA,0
PF/C,Zhou Qi (11506926),Zhou Qi,11506926,PF/C/F/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,HOU,0
PG/SG,Brandon Knight (11506930),Brandon Knight,11506930,PG/SG/G/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,HOU,0
SF/PF,Gary Clark (11506934),Gary Clark,11506934,SF/PF/F/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,HOU,0
SF/PF,Vincent Edwards (11506938),Vincent Edwards,11506938,SF/PF/F/UTIL,3000,UTA@HOU 10/24/2018 08:00PM ET,HOU,0
PG/SG,Daryl Macon (11506942) (LOCKED),Daryl Macon,11506942,PG/SG/G/UTIL,3000,DAL@ATL 10/24/2018 07:00PM ET,DAL,0
PF,Ray Spalding (11506946) (LOCKED),Ray Spalding,11506946,PF/F/UTIL,3000,DAL@ATL 10/24/2018 07:00PM ET,DAL,0
SG/SF,Ryan Broekhoff (11506949) (LOCKED),Ryan Broekhoff,11506949,SG/SF/F/G/UTIL,3000,DAL@ATL 10/24/2018 07:00PM ET,DAL,2.75
SG/SF,Daniel Hamilton (11506954) (LOCKED),Daniel Hamilton,11506954,SG/SF/F/G/UTIL,3000,DAL@ATL 10/24/2018 07:00PM ET,ATL,0
PG,Jaylen Adams (11506959) (LOCKED),Jaylen Adams,11506959,PG/G/UTIL,3000,DAL@ATL 10/24/2018 07:00PM ET,ATL,1.38
PG,Elie Okobo (11506706),Elie Okobo,11506706,PG/G/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,PHO,1.5
SG,Troy Daniels (11506715),Troy Daniels,11506715,SG/G/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,PHO,1.25
SG/SF,George King (11506962),George King,11506962,SG/SF/F/G/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,PHO,0
PG/SG,De'Anthony Melton (11506967),De'Anthony Melton,11506967,PG/SG/G/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,PHO,0
PF/C,Moritz Wagner (11506971),Moritz Wagner,11506971,PF/C/F/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,LAL,0
SF,Isaac Bonga (11506975),Isaac Bonga,11506975,SF/F/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,LAL,0
SG,Alex Caruso (11506978),Alex Caruso,11506978,SG/G/UTIL,3000,LAL@PHO 10/24/2018 10:00PM ET,LAL,0
PF/C,Ivan Rabb (11506709),Ivan Rabb,11506709,PF/C/F/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,MEM,0
SG/SF,D.J. Stephens (11506981),D.J. Stephens,11506981,SG/SF/F/G/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,MEM,0
SF/PF,Yuta Watanabe (11506986),Yuta Watanabe,11506986,SF/PF/F/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,MEM,0
PG,Jevon Carter (11506990),Jevon Carter,11506990,PG/G/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,MEM,0
SF/PF,Wenyen Gabriel (11506993),Wenyen Gabriel,11506993,SF/PF/F/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,SAC,0
C,Kosta Koufos (11506997),Kosta Koufos,11506997,C/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,SAC,0
SF/PF,Troy Williams (11506999),Troy Williams,11506999,SF/PF/F/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,SAC,0
SG/SF,Ben McLemore (11507003),Ben McLemore,11507003,SG/SF/F/G/UTIL,3000,MEM@SAC 10/24/2018 10:00PM ET,SAC,4
SF,Quincy Pondexter (11507008),Quincy Pondexter,11507008,SF/F/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,SA,4.5
PG/SG,Lonnie Walker IV (11507011),Lonnie Walker IV,11507011,PG/SG/G/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,SA,0
PF/C,Drew Eubanks (11507015),Drew Eubanks,11507015,PF/C/F/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,SA,2
PG,Dejounte Murray (11507019),Dejounte Murray,11507019,PG/G/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,SA,0
PF/C,Chimezie Metu (11507022),Chimezie Metu,11507022,PF/C/F/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,SA,6.5
PF/C,Ike Anigbogu (11507026),Ike Anigbogu,11507026,PF/C/F/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,IND,2.75
PF,Alize Johnson (11507030),Alize Johnson,11507030,PF/F/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,IND,3.5
SF,Ben Moore (11507033),Ben Moore,11507033,SF/F/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,IND,0
PG,Edmond Sumner (11507036),Edmond Sumner,11507036,PG/G/UTIL,3000,IND@SA 10/24/2018 08:30PM ET,IND,1.17
