Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
81,1229876362,jljones78,0,169.66,QB Joe Flacco RB Todd Gurley II RB Latavius Murray FLEX Kerryon Johnson WR Adam Thielen WR Alshon Jeffery WR Damion Ratley TE David Njoku DST Bears ,,Antonio Callaway,WR,0.84%,2.4
82,1229479234,mmsills,0,169.64,QB Andrew Luck FLEX Todd Gurley II RB Marlon Mack RB Nick Chubb WR Alshon Jeffery WR T.Y. Hilton WR Josh Gordon TE Eric Ebron DST Lions ,,Corey Clement,RB,0.84%,4.2
83,1232085433,CIbarra310,0,169.56,QB Cam Newton RB Todd Gurley II FLEX Tarik Cohen RB Peyton Barber WR Adam Thielen WR Devin Funchess WR Willie Snead IV TE David Njoku DST Colts ,,Buccaneers ,DST,0.84%,7
84,1225418946,London0711,0,169.32,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Adam Thielen WR Alshon Jeffery WR Jermaine Kearse TE David Njoku DST Dolphins ,,Kenyan Drake,RB,0.84%,18.7
85,1230378998,5151s,0,169.12,QB Mitchell Trubisky RB Tarik Cohen RB Latavius Murray FLEX Adam Thielen WR DeSean Jackson WR Taylor Gabriel WR Marquise Goodwin TE Zach Ertz DST Vikings ,,Alex Collins,RB,0.79%,7.8
86,1223993275,jap1015,0,169.06,QB Cam Newton FLEX Todd Gurley II RB Tarik Cohen RB Nick Chubb WR Adam Thielen WR Alshon Jeffery WR Jermaine Kearse TE O.J. Howard DST Texans ,,Cole Beasley,FLEX,0.75%,12.6
87,1230519058,BearHawk005,0,169,QB Carson Wentz FLEX Sony Michel RB Kerryon Johnson RB Marlon Mack WR Adam Thielen WR Golden Tate WR Taylor Gabriel TE Zach Ertz DST Texans ,,Patriots ,DST,0.70%,19
88,1228303696,slim_242,0,168.76,QB Cam Newton RB Todd Gurley II RB Kerryon Johnson FLEX Nick Chubb WR Adam Thielen WR Alshon Jeffery WR Taylor Gabriel TE David Njoku DST Lions ,,Dwayne Allen,TE,0.70%,0
89,1226481582,edvan,0,168.42,QB Mitchell Trubisky RB Todd Gurley II RB Latavius Murray FLEX Duke Johnson Jr. WR Adam Thielen WR Taylor Gabriel WR Marquise Goodwin TE David Njoku DST Colts ,,Tre'Quan Smith,FLEX,0.66%,7.4
90,1231661603,left9794,0,167.86,QB Joe Flacco RB Todd Gurley II FLEX Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Michael Crabtree WR Tre'Quan Smith TE Zach Ertz DST Panthers ,,Charles Clay,TE,0.66%,3.4
91,1229820245,DuckDodger3000,0,167.8,QB Baker Mayfield FLEX Todd Gurley II RB Tarik Cohen RB Kenyan Drake WR Jarvis Landry WR DeSean Jackson WR Kelvin Benjamin TE David Njoku DST Vikings ,,Robby Anderson,WR,0.66%,7.4
92,1226392215,Oli12,0,167.76,QB Cam Newton RB Todd Gurley II FLEX Tarik Cohen RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Jermaine Kearse TE David Njoku DST Texans ,,Andrew Luck,QB,0.66%,22.74
