Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Raymond Felton (11540313),Raymond Felton,11540313,PG/SG/G/UTIL,3300,LAC@OKC 10/30/2018 08:00PM ET,OKC,16.62
PG,Milos Teodosic (11540332),Milos Teodosic,11540332,PG/G/UTIL,3300,LAC@OKC 10/30/2018 08:00PM ET,LAC,17.12
SG/SF,David Nwaba (11540339),David Nwaba,11540339,SG/SF/F/G/UTIL,3200,ATL@CLE 10/30/2018 07:00PM ET,CLE,4.75
SG/SF,Kyle Korver (11540378),Kyle Korver,11540378,SG/SF/F/G/UTIL,3200,ATL@CLE 10/30/2018 07:00PM ET,CLE,9.5
C,Ante Zizic (11540383),Ante Zizic,11540383,C/UTIL,3200,ATL@CLE 10/30/2018 07:00PM ET,CLE,7.2
SF,Alex Poythress (11540385),Alex Poythress,11540385,SF/F/UTIL,3200,ATL@CLE 10/30/2018 07:00PM ET,ATL,13.44
SG,Vince Carter (11540388),Vince Carter,11540388,SG/G/UTIL,3200,ATL@CLE 10/30/2018 07:00PM ET,ATL,15.29
PG,Tony Parker (11540391),Tony Parker,11540391,PG/G/UTIL,3200,MIA@CHA 10/30/2018 07:00PM ET,CHA,15.21
PG,Frank Mason III (11540394),Frank Mason III,11540394,PG/G/UTIL,3200,SAC@ORL 10/30/2018 07:00PM ET,SAC,16.88
PG/SG,Andrew Harrison (11540344),Andrew Harrison,11540344,PG/SG/G/UTIL,3200,WAS@MEM 10/30/2018 08:00PM ET,MEM,2
SG,Bruce Brown Jr. (11540348),Bruce Brown Jr.,11540348,SG/G/UTIL,3200,DET@BOS 10/30/2018 07:30PM ET,DET,6.33
PF/C,Jon Leuer (11540397),Jon Leuer,11540397,PF/C/F/UTIL,3200,DET@BOS 10/30/2018 07:30PM ET,DET,5.25
SF/PF,Glenn Robinson III (11540401),Glenn Robinson III,11540401,SF/PF/F/UTIL,3200,DET@BOS 10/30/2018 07:30PM ET,DET,5.69
PG,Lorenzo Brown (11540351),Lorenzo Brown,11540351,PG/G/UTIL,3200,PHI@TOR 10/30/2018 07:30PM ET,TOR,7.83
SG/SF,Norman Powell (11540354),Norman Powell,11540354,SG/SF/F/G/UTIL,3200,PHI@TOR 10/30/2018 07:30PM ET,TOR,12.11
PF/C,Amir Johnson (11540359),Amir Johnson,11540359,PF/C/F/UTIL,3200,PHI@TOR 10/30/2018 07:30PM ET,PHI,12.71
PG/SG,Seth Curry (11540363),Seth Curry,11540363,PG/SG/G/UTIL,3200,POR@HOU 10/30/2018 08:00PM ET,POR,9.33
C,Nene Hilario (11540367),Nene Hilario,11540367,C/UTIL,3200,POR@HOU 10/30/2018 08:00PM ET,HOU,0
SG/SF,Alex Abrines (11540369),Alex Abrines,11540369,SG/SF/F/G/UTIL,3200,LAC@OKC 10/30/2018 08:00PM ET,OKC,9.75
SF/PF,Luc Richard Mbah a Moute (11540374),Luc Richard Mbah a Moute,11540374,SF/PF/F/UTIL,3200,LAC@OKC 10/30/2018 08:00PM ET,LAC,8.94
PG/SG,Jeremy Lin (11540429),Jeremy Lin,11540429,PG/SG/G/UTIL,3100,ATL@CLE 10/30/2018 07:00PM ET,ATL,9.42
PF/C,Frank Kaminsky (11540433),Frank Kaminsky,11540433,PF/C/F/UTIL,3100,MIA@CHA 10/30/2018 07:00PM ET,CHA,3.25
PF,Khem Birch (11540407),Khem Birch,11540407,PF/F/UTIL,3100,SAC@ORL 10/30/2018 07:00PM ET,ORL,5.25
PF,Harry Giles (11540437),Harry Giles,11540437,PF/F/UTIL,3100,SAC@ORL 10/30/2018 07:00PM ET,SAC,8.96
PF/C,Zach Randolph (11540440),Zach Randolph,11540440,PF/C/F/UTIL,3100,SAC@ORL 10/30/2018 07:00PM ET,SAC,0
PG/SG,Tomas Satoransky (11540410),Tomas Satoransky,11540410,PG/SG/G/UTIL,3100,WAS@MEM 10/30/2018 08:00PM ET,WAS,11.04
C,Thomas Bryant (11540444),Thomas Bryant,11540444,C/UTIL,3100,WAS@MEM 10/30/2018 08:00PM ET,WAS,11.38
C,Robert Williams (11540414),Robert Williams,11540414,C/UTIL,3100,DET@BOS 10/30/2018 07:30PM ET,BOS,6
PG,Landry Shamet (11540416),Landry Shamet,11540416,PG/G/UTIL,3100,PHI@TOR 10/30/2018 07:30PM ET,PHI,10.57
C,Meyers Leonard (11540405),Meyers Leonard,11540405,C/UTIL,3100,POR@HOU 10/30/2018 08:00PM ET,POR,6.45
PG,Wade Baldwin IV (11540419),Wade Baldwin IV,11540419,PG/G/UTIL,3100,POR@HOU 10/30/2018 08:00PM ET,POR,1.5
PF,Jake Layman (11540422),Jake Layman,11540422,PF/F/UTIL,3100,POR@HOU 10/30/2018 08:00PM ET,POR,7.5
PF,Caleb Swanigan (11540446),Caleb Swanigan,11540446,PF/F/UTIL,3100,POR@HOU 10/30/2018 08:00PM ET,POR,13.5
PF,Isaiah Hartenstein (11540449),Isaiah Hartenstein,11540449,PF/F/UTIL,3100,POR@HOU 10/30/2018 08:00PM ET,HOU,6
SF/PF,Mike Scott (11540425),Mike Scott,11540425,SF/PF/F/UTIL,3100,LAC@OKC 10/30/2018 08:00PM ET,LAC,8.08
