Kyle Nelson,FLEX,2500,0.0001,0.0,0
Charone Peake,WR,3000,0.0001,0.0,0
Marcus Murphy,FLEX,3000,0.0001,12.0,4.0
Nick Mullens,QB,4500,0.0001,0.0,0
Rod Smith,RB,4000,0.0001,0.0,0
Victor Bolden Jr.,WR,3000,0.0001,0.0,0
A.J. Derby,FLEX,2500,0.0001,0.0,0
Jacob Hollister,TE,2500,0.0001,0.0,0
Jordan Leggett,TE,2500,0.0,0.0,0
JoJo Natson Jr.,WR,3000,0.0,0.0,0
Kamar Aiken,WR,3000,0.0,0.0,0
James Develin,FLEX,3000,0.0,0.0,0
Jack Doyle,TE,4600,0.0,0.0,0
Kevin White,WR,3000,0.0,8.4,2.8000000000000003
Josiah Price,TE,2500,0.0,0.0,0
Marcus Johnson,FLEX,3000,0.0,0.0,0
Ryan Grant,WR,4300,0.0,0.0,0
TJ Jones,WR,3000,0.0,3.6,1.2
Levine Toilolo,TE,2500,0.0,0.0,0
Jeremy Sprinkle,TE,2500,0.0,0.0,0
Justin Watson,WR,3000,0.0,0.0,0
Tavon Austin,WR,3000,0.0,0.0,0
Quincy Enunwa,WR,4200,0.0,0.0,0
Roc Thomas,FLEX,3100,0.0,2.3,0.7419354838709676
Johnny Mundt,TE,2500,0.0,0.0,0
Orson Charles,TE,2500,0.0,0.0,0
Sammie Coates Jr.,WR,3000,0.0,0.0,0
Daniel Brown,FLEX,2500,0.0,0.0,0
Joshua Perkins,FLEX,2500,0.0,0.0,0
Matthew Slater,WR,3000,0.0,0.0,0
Chris Manhertz,TE,2500,0.0,0.0,0
Mike Boone,RB,3000,0.0,0.4,0.13333333333333333
Michael Burton,FLEX,3000,0.0,0.0,0
Bruce Ellington,WR,3000,0.0,0.0,0
Michael Roberts,TE,2500,0.0,19.8,7.92
Rex Burkhead,RB,3500,0.0,0.0,0
Tyler Conklin,FLEX,2500,0.0,0.0,0
Kenjon Barner,RB,3000,0.0,3.6,1.2
